id_rapport,pays,secteur,bailleur,lecon,score_moyen,cluster
1,Niger,Education & Emploi,Banque Mondiale,L'implication des communautés locales dans la conception du programme a significativement amélioré le taux de participation.,4.8,0
1,Niger,Education & Emploi,Banque Mondiale,Le suivi post-formation est essentiel pour mesurer l'insertion durable à 12 mois.,4.8,0
1,Niger,Education & Emploi,Banque Mondiale,Les modules de formation doivent être adaptés aux réalités du marché du travail local.,4.8,0
1,Niger,Education & Emploi,Banque Mondiale,Les formations en compétences numériques ont augmenté l'employabilité des jeunes de 35%.,4.8,1
2,Sénégal,Environnement,AFD,Les femmes sont les principales gardiennes des ressources naturelles dans les zones rurales.,5.0,2
2,Sénégal,Environnement,AFD,L'adaptation au changement climatique doit être intégrée dès la formulation des projets.,5.0,3
3,RCA,Education & Emploi,UNICEF,Les formations en compétences numériques ont augmenté l'employabilité des jeunes de 35%.,8.1,1
3,RCA,Education & Emploi,UNICEF,Le suivi post-formation est essentiel pour mesurer l'insertion durable à 12 mois.,8.1,0
3,RCA,Education & Emploi,UNICEF,Les modules de formation doivent être adaptés aux réalités du marché du travail local.,8.1,0
3,RCA,Education & Emploi,UNICEF,L'approche genre a permis d'augmenter la participation des filles de 20 points de pourcentage.,8.1,0
4,Burkina Faso,Gouvernance,UNICEF,Les mécanismes de redevabilité sociale renforcent la participation citoyenne.,6.3,0
4,Burkina Faso,Gouvernance,UNICEF,La transparence budgétaire renforce la confiance des citoyens envers les institutions locales.,6.3,0
5,RCA,Eau & Assainissement,UE/FED,Les comités de gestion de l'eau formés localement assurent une meilleure pérennité.,6.4,4
5,RCA,Eau & Assainissement,UE/FED,La maintenance communautaire des infrastructures est clé pour la durabilité des interventions.,6.4,0
5,RCA,Eau & Assainissement,UE/FED,L'accès à l'eau potable réduit de 40% les maladies hydriques dans les zones d'intervention.,6.4,2
6,Mauritanie,Environnement,UE/FED,Les pratiques agro-écologiques améliorent les rendements tout en préservant les sols.,6.1,0
6,Mauritanie,Environnement,UE/FED,Les femmes sont les principales gardiennes des ressources naturelles dans les zones rurales.,6.1,2
7,Sénégal,Gouvernance,ECHO,La transparence budgétaire renforce la confiance des citoyens envers les institutions locales.,5.5,0
7,Sénégal,Gouvernance,ECHO,Les mécanismes de redevabilité sociale renforcent la participation citoyenne.,5.5,0
7,Sénégal,Gouvernance,ECHO,La formation des élus locaux améliore la qualité des services publics délivrés.,5.5,0
7,Sénégal,Gouvernance,ECHO,La décentralisation effective nécessite un transfert de ressources et pas seulement de compétences.,5.5,1
8,Mauritanie,Eau & Assainissement,LuxDev,Les comités de gestion de l'eau formés localement assurent une meilleure pérennité.,7.1,4
8,Mauritanie,Eau & Assainissement,LuxDev,L'hygiène menstruelle doit être intégrée dans tous les programmes WASH scolaires.,7.1,3
9,Niger,Eau & Assainissement,AFD,La qualité de l'eau doit être testée régulièrement — les résultats doivent être partagés avec les communautés.,6.6,3
9,Niger,Eau & Assainissement,AFD,L'hygiène menstruelle doit être intégrée dans tous les programmes WASH scolaires.,6.6,3
10,RCA,Eau & Assainissement,UE/FED,L'accès à l'eau potable réduit de 40% les maladies hydriques dans les zones d'intervention.,4.9,2
10,RCA,Eau & Assainissement,UE/FED,La maintenance communautaire des infrastructures est clé pour la durabilité des interventions.,4.9,0
10,RCA,Eau & Assainissement,UE/FED,La qualité de l'eau doit être testée régulièrement — les résultats doivent être partagés avec les communautés.,4.9,3
10,RCA,Eau & Assainissement,UE/FED,Les comités de gestion de l'eau formés localement assurent une meilleure pérennité.,4.9,4
11,Mali,Education & Emploi,LuxDev,Les formations en compétences numériques ont augmenté l'employabilité des jeunes de 35%.,7.5,1
11,Mali,Education & Emploi,LuxDev,L'approche genre a permis d'augmenter la participation des filles de 20 points de pourcentage.,7.5,0
12,Niger,Eau & Assainissement,LuxDev,La maintenance communautaire des infrastructures est clé pour la durabilité des interventions.,5.1,0
12,Niger,Eau & Assainissement,LuxDev,La qualité de l'eau doit être testée régulièrement — les résultats doivent être partagés avec les communautés.,5.1,3
12,Niger,Eau & Assainissement,LuxDev,L'accès à l'eau potable réduit de 40% les maladies hydriques dans les zones d'intervention.,5.1,2
13,Mali,Gouvernance,LuxDev,Le dialogue entre société civile et autorités locales est un facteur clé de succès.,6.8,0
13,Mali,Gouvernance,LuxDev,La transparence budgétaire renforce la confiance des citoyens envers les institutions locales.,6.8,0
13,Mali,Gouvernance,LuxDev,La formation des élus locaux améliore la qualité des services publics délivrés.,6.8,0
13,Mali,Gouvernance,LuxDev,Les mécanismes de redevabilité sociale renforcent la participation citoyenne.,6.8,0
14,Burkina Faso,Gouvernance,UNICEF,La décentralisation effective nécessite un transfert de ressources et pas seulement de compétences.,5.0,1
14,Burkina Faso,Gouvernance,UNICEF,Les mécanismes de redevabilité sociale renforcent la participation citoyenne.,5.0,0
15,Mauritanie,Environnement,AFD,Les systèmes d'alerte précoce sécheresse réduisent significativement les pertes agricoles.,6.0,0
15,Mauritanie,Environnement,AFD,La reforestation participative avec les communautés assure une meilleure survie des plants.,6.0,4
16,Mauritanie,Environnement,UE/FED,Les femmes sont les principales gardiennes des ressources naturelles dans les zones rurales.,5.1,2
16,Mauritanie,Environnement,UE/FED,Les pratiques agro-écologiques améliorent les rendements tout en préservant les sols.,5.1,0
16,Mauritanie,Environnement,UE/FED,L'adaptation au changement climatique doit être intégrée dès la formulation des projets.,5.1,3
17,Mauritanie,Eau & Assainissement,UE/FED,Les comités de gestion de l'eau formés localement assurent une meilleure pérennité.,6.0,4
17,Mauritanie,Eau & Assainissement,UE/FED,L'hygiène menstruelle doit être intégrée dans tous les programmes WASH scolaires.,6.0,3
17,Mauritanie,Eau & Assainissement,UE/FED,L'accès à l'eau potable réduit de 40% les maladies hydriques dans les zones d'intervention.,6.0,2
18,Niger,Santé,LuxDev,L'intégration des services de santé maternelle et infantile améliore les taux de consultation.,6.2,0
